Name,Link,Year,GRAPHICS PROCESSOR,PIXEL SHADERS,VERTEX SHADERS,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Predecessor,Production,Launch Price,Bus Interface,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Pixel Shaders,Vertex Shaders,TMUs,ROPs,Pixel Rate,Texture Rate,Slot Width,TDP,Suggested PSU,Outputs,Power Connectors,Board Number,DirectX,OpenGL,OpenCL,Vulkan,Pixel Shader,Vertex Shader,Vertex Rate,Successor,GPU Variant
Spectre 1000,https://www.techpowerup.com/gpu-specs/spectre-1000.c3538,2001,Rampage,4,,4,4,64 MB,DDR,128 bit,Rampage,Voodoo Scalable,TSMC,180 nm,30 million,131 mm²,Never Released,Spectre,Voodoo5,End-of-life,199 USD,AGP 4x,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4,0,4,4,800.0 MPixel/s,800.0 MTexel/s,Single-slot,30 W,200 W,1x VGA,1x Molex,210-0424-001,8.0,1.1,,,,,,,
Spectre 2000,https://www.techpowerup.com/gpu-specs/spectre-2000.c3540,2001,Rampage,4,1,4,4,64 MB,DDR,128 bit,Sage,Voodoo Scalable,TSMC,180 nm,25 million,unknown,Never Released,Spectre,Voodoo5,End-of-life,299 USD,AGP 4x,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4,1,4,4,800.0 MPixel/s,800.0 MTexel/s,Single-slot,30 W,200 W,"1x DVI
1x VGA
1x S-Video",None,,8.0,1.1,,,,,50.00 MVertices/s,,
Spectre 3000,https://www.techpowerup.com/gpu-specs/spectre-3000.c3539,2001,Rampage x2,4 x2,1 x2,4 x2,4 x2,64 MB x2,DDR,128 bit x2,Sage,Voodoo Scalable,TSMC,180 nm,25 million,unknown,Never Released,Spectre,Voodoo5,End-of-life,499 USD,AGP 4x,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4,1,4,4,800.0 MPixel/s,800.0 MTexel/s,Single-slot,60 W,250 W,"1x DVI
1x VGA
1x S-Video",None,,8.0,1.1,,,,,50.00 MVertices/s,,
Voodoo4 4000 AGP,https://www.techpowerup.com/gpu-specs/voodoo4-4000-agp.c3550,2000,VSA-100,2,,2,2,16 MB,SDR,128 bit,VSA-100,Voodoo Scalable,TSMC,250 nm,14 million,112 mm²,Never Released,Voodoo4,Voodoo3,End-of-life,,AGP 4x,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo4-2,
Voodoo4 4500 AGP,https://www.techpowerup.com/gpu-specs/voodoo4-4500-agp.c3548,2000,VSA-100,2,,2,2,32 MB,SDR,128 bit,VSA-100,Voodoo Scalable,TSMC,250 nm,14 million,112 mm²,"Oct 13th, 2000",Voodoo4,Voodoo3,End-of-life,,AGP 4x,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,210-0416-001-A0,6.0,1.1,,,,,,Voodoo4-2,"Napalm 26-220
(355-0026-220)"
Voodoo4 4500 PCI,https://www.techpowerup.com/gpu-specs/voodoo4-4500-pci.c3547,2000,VSA-100,2,,2,2,32 MB,SDR,128 bit,VSA-100,Voodoo Scalable,TSMC,250 nm,14 million,112 mm²,"Oct 13th, 2000",Voodoo4,Voodoo3,End-of-life,,PCI,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,210-0403-001,6.0,1.1,,,,,,Voodoo4-2,"Napalm 26-220
(355-0026-220)"
Voodoo4 4800 AGP,https://www.techpowerup.com/gpu-specs/voodoo4-4800-agp.c3534,2000,VSA-100,2,,2,2,64 MB,SDR,128 bit,VSA-100,Voodoo Scalable,TSMC,250 nm,14 million,112 mm²,Never Released,Voodoo4,Voodoo3,End-of-life,,AGP 4x,166 MHz,166 MHz,64 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,210-0416-001-A0,6.0,1.1,,,,,,Voodoo4-2,"Napalm 26-220
(355-0026-220)"
Voodoo4-2 4000 AGP,https://www.techpowerup.com/gpu-specs/voodoo4-2-4000-agp.c3543,2000,VSA-101,2,,2,2,16 MB,SDR,128 bit,VSA-101,Voodoo Scalable,TSMC,180 nm,14 million,112 mm²,Never Released,Voodoo4-2,Voodoo4,End-of-life,,AGP 4x,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo5,"Daytona
(355-0025-221)"
Voodoo4-2 4200 AGP,https://www.techpowerup.com/gpu-specs/voodoo4-2-4200-agp.c3544,2000,VSA-101,2,,2,2,16 MB,DDR,128 bit,VSA-101,Voodoo Scalable,TSMC,180 nm,14 million,112 mm²,Never Released,Voodoo4-2,Voodoo4,End-of-life,,AGP 4x,143 MHz,"143 MHz
286 Mbps effective",16 MB,DDR,128 bit,4.576 GB/s,2,0,2,2,286.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,200 W,"1x DVI
1x VGA",None,,6.0,1.1,,,,,,Voodoo5,"Daytona
(355-0025-221)"
Voodoo4-2 4200 PCI 16 MB,https://www.techpowerup.com/gpu-specs/voodoo4-2-4200-pci-16-mb.c3558,2000,VSA-101,2,,2,2,16 MB,DDR,128 bit,VSA-101,Voodoo Scalable,TSMC,180 nm,14 million,112 mm²,Never Released,Voodoo4-2,Voodoo4,End-of-life,,AGP 4x,166 MHz,"166 MHz
332 Mbps effective",16 MB,DDR,128 bit,5.312 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,"1x DVI
1x VGA",None,,6.0,1.1,,,,,,Voodoo5,"Daytona
(355-0025-221)"
