Name,Link,Year,GRAPHICS PROCESSOR,CORES,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,GPU Variant,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Production,Launch Price,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,Pixel Rate,Texture Rate,FP32 (float) performance,Length,Width,Height,Weight,TDP,Outputs,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,Bus Interface,Reviews,L1 Cache,L2 Cache,Slot Width,Suggested PSU,Power Connectors,Predecessor,Successor,FP64 (double) performance,Board Number,Base Clock,Boost Clock,PIXEL SHADERS,VERTEX SHADERS,Pixel Shaders,Vertex Shaders,Vertex Rate,Pixel Shader,Vertex Shader,Part Number
Xbox 360 E GPU,https://www.techpowerup.com/gpu-specs/xbox-360-e-gpu.c3649,2013,Xenos Corona,240,16,8,512 MB,GDDR3,128 bit,Xenos Corona,Crayola 6,TeraScale,TSMC,45 nm,372 million,168 mm²,"Jun 10th, 2013","Console GPU
(Microsoft)",End-of-life,299 USD,500 MHz,"700 MHz
1400 Mbps effective",512 MB,GDDR3,128 bit,22.40 GB/s,240,16,8,3,4.000 GPixel/s,8.000 GTexel/s,240.0 GFLOPS,"264 mm
10.4 inches","254 mm
10 inches","67 mm
2.6 inches",2.9 kg (6.3 lbs),120 W,No outputs,9.0c (9_3),N/A,N/A,N/A,3.0,,,,,,,,,,,,,,,,,,,,,
FirePro V7760,https://www.techpowerup.com/gpu-specs/firepro-v7760.c1791,2012,RV770,800,40,8,1024 MB,GDDR3,128 bit,RV770,"RV770 XT
(215-0669049)",TeraScale,TSMC,55 nm,956 million,256 mm²,2012,"FirePro
(Vx700)",End-of-life,,750 MHz,"850 MHz
1700 Mbps effective",1024 MB,GDDR3,128 bit,27.20 GB/s,800,40,8,10,6.000 GPixel/s,30.00 GTexel/s,"1,200 GFLOPS","234 mm
9.2 inches","111 mm
4.4 inches",,,76 W,1x DVI,10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,10 in our database,16 KB (per CU),128 KB,Single-slot,250 W,1x 6-pin,,,,,,,,,,,,,,
FirePro V7770,https://www.techpowerup.com/gpu-specs/firepro-v7770.c1790,2012,RV770,800,40,8,1024 MB,GDDR4,128 bit,RV770,"RV770 XT
(215-0669049)",TeraScale,TSMC,55 nm,956 million,256 mm²,2012,"FirePro
(Vx700)",End-of-life,,625 MHz,"1050 MHz
2.1 Gbps effective",1024 MB,GDDR4,128 bit,33.60 GB/s,800,40,8,10,5.000 GPixel/s,25.00 GTexel/s,"1,000 GFLOPS","234 mm
9.2 inches","111 mm
4.4 inches",,,76 W,1x DVI,10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,10 in our database,16 KB (per CU),128 KB,Single-slot,250 W,1x 6-pin,,,,,,,,,,,,,,
Mobility Radeon HD 5570,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-5570.c2217,2012,Pinewood,400,20,8,1024 MB,GDDR3,128 bit,Pinewood,"Pinewood MXM
(215-0757056)",TeraScale 2,TSMC,40 nm,627 million,104 mm²,"Nov 23rd, 2012","Manhattan
(Mobility HD 5500)",End-of-life,,550 MHz,"800 MHz
1600 Mbps effective",1024 MB,GDDR3,128 bit,25.60 GB/s,400,20,8,5,4.400 GPixel/s,11.00 GTexel/s,440.0 GFLOPS,,,,,20 W,No outputs,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,2 in our database,8 KB (per CU),256 KB,,,,M9x,Vancouver,,,,,,,,,,,,
Radeon HD 5470,https://www.techpowerup.com/gpu-specs/radeon-hd-5470.c2062,2012,Cedar,80,8,4,512 MB,GDDR3,64 bit,Cedar,Cedar PRO,TeraScale 2,TSMC,40 nm,292 million,59 mm²,"Feb 13th, 2012","Evergreen
(HD 5400)",End-of-life,,650 MHz,"400 MHz
800 Mbps effective",512 MB,GDDR3,64 bit,6.400 GB/s,80,8,4,2,2.600 GPixel/s,5.200 GTexel/s,104.0 GFLOPS,"170 mm
6.7 inches",,,,19 W,"1x DVI
1x HDMI 1.3a
1x VGA",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),128 KB,Single-slot,200 W,None,Radeon R700,Northern Islands,,,,,,,,,,,,
Radeon HD 5490,https://www.techpowerup.com/gpu-specs/radeon-hd-5490.c2061,2012,Cedar,80,8,4,1024 MB,GDDR3,64 bit,Cedar,Cedar XTX,TeraScale 2,TSMC,40 nm,292 million,59 mm²,"Oct 28th, 2012","Evergreen
(HD 5400)",End-of-life,,650 MHz,"500 MHz
1000 Mbps effective",1024 MB,GDDR3,64 bit,8.000 GB/s,80,8,4,2,2.600 GPixel/s,5.200 GTexel/s,104.0 GFLOPS,"170 mm
6.7 inches",,,,19 W,"1x DVI
1x HDMI 1.3a
1x VGA",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),128 KB,Single-slot,200 W,None,Radeon R700,Northern Islands,,,,,,,,,,,,
FirePro V7800P,https://www.techpowerup.com/gpu-specs/firepro-v7800p.c1876,2011,Cypress,1440,72,32,2 GB,GDDR5,256 bit,Cypress,Cypress PRO GL,TeraScale 2,TSMC,40 nm,"2,154 million",334 mm²,"May 16th, 2011","FirePro
(Vx800)",End-of-life,"1,249 USD",700 MHz,"1000 MHz
4 Gbps effective",2 GB,GDDR5,256 bit,128.0 GB/s,1440,72,32,18,22.40 GPixel/s,50.40 GTexel/s,2.016 TFLOPS,"241 mm
9.5 inches","111 mm
4.4 inches",,,138 W,1x DisplayPort 1.1,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,1 in our database,8 KB (per CU),512 KB,Single-slot,300 W,1x 6-pin,,,403.2 GFLOPS (1:5),C111-81,,,,,,,,,,
Radeon HD 4450,https://www.techpowerup.com/gpu-specs/radeon-hd-4450.c2079,2011,RV710,80,8,4,512 MB,DDR2,64 bit,RV710,"RV710
(215-0725016)",TeraScale,TSMC,55 nm,242 million,73 mm²,"Nov 18th, 2011","Radeon R700
(HD 4400)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",512 MB,DDR2,64 bit,6.400 GB/s,80,8,4,1,2.400 GPixel/s,4.800 GTexel/s,96.00 GFLOPS,"168 mm
6.6 inches",,,,25 W,"1x DVI
1x HDMI 1.3a
1x DisplayPort 1.0",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,,16 KB (per CU),64 KB,Single-slot,200 W,None,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4580,https://www.techpowerup.com/gpu-specs/radeon-hd-4580.c2078,2011,RV635,120,8,4,512 MB,GDDR3,128 bit,RV635,"RV635 PRO
(215-0682008)",TeraScale,TSMC,55 nm,378 million,135 mm²,"Nov 20th, 2011","Radeon R700
(HD 4500)",End-of-life,,796 MHz,"693 MHz
1386 Mbps effective",512 MB,GDDR3,128 bit,22.18 GB/s,120,8,4,3,3.184 GPixel/s,6.368 GTexel/s,191.0 GFLOPS,"190 mm
7.5 inches",,,,65 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,N/A,N/A,4.1,PCIe 2.0 x16,,,128 KB,Single-slot,250 W,None,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4720,https://www.techpowerup.com/gpu-specs/radeon-hd-4720.c2080,2011,RV730,320,32,8,1024 MB,GDDR3,128 bit,RV730,"RV730 XT
(215-0719047)",TeraScale,TSMC,55 nm,514 million,146 mm²,"Dec 11th, 2011","Radeon R700
(HD 4700)",End-of-life,,600 MHz,"667 MHz
1334 Mbps effective",1024 MB,GDDR3,128 bit,21.34 GB/s,320,32,8,4,4.800 GPixel/s,19.20 GTexel/s,384.0 GFLOPS,"193 mm
7.6 inches",,,,55 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,,16 KB (per CU),128 KB,Single-slot,250 W,,Radeon R600,Evergreen,,,,,,,,,,,,
