Name,Link,Year,GRAPHICS PROCESSOR,CORES,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,GPU Variant,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Production,Bus Interface,Reviews,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Execution Units,RT Cores,L2 Cache,Pixel Rate,Texture Rate,FP16 (half) performance,FP32 (float) performance,FP64 (double) performance,Slot Width,TDP,Outputs,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,Suggested PSU,Power Connectors,GPU Clock,Length,L3 Cache,Availability,Launch Price,PIXEL SHADERS,VERTEX SHADERS,Pixel Shaders,Vertex Shaders,Vertex Rate,Pixel Shader,Vertex Shader
Arc A350M,https://www.techpowerup.com/gpu-specs/arc-a350m.c3905,2022,DG2-128,768,48,24,4 GB,GDDR6,64 bit,DG2-128,ACM-G11,Generation 12.7,TSMC,6 nm,"7,200 million",157 mm²,"Mar 30th, 2022","Alchemist
(Arc 3)",Active,PCIe 4.0 x8,1 in our database,300 MHz,1150 MHz,"1500 MHz
12 Gbps effective",4 GB,GDDR6,64 bit,96.00 GB/s,768,48,24,96,6,4 MB,27.60 GPixel/s,55.20 GTexel/s,3.533 TFLOPS (2:1),1.766 TFLOPS,441.6 GFLOPS (1:4),IGP,25 W,No outputs,12 Ultimate (12_2),4.6,3.0,1.3,6.6,,,,,,,,,,,,,,
Arc A370M,https://www.techpowerup.com/gpu-specs/arc-a370m.c3906,2022,DG2-128,1024,64,32,4 GB,GDDR6,64 bit,DG2-128,ACM-G11,Generation 12.7,TSMC,6 nm,"7,200 million",157 mm²,"Mar 30th, 2022","Alchemist
(Arc 3)",Active,PCIe 4.0 x8,1 in our database,300 MHz,1550 MHz,"1500 MHz
12 Gbps effective",4 GB,GDDR6,64 bit,96.00 GB/s,1024,64,32,128,8,4 MB,49.60 GPixel/s,99.20 GTexel/s,6.349 TFLOPS (2:1),3.174 TFLOPS,793.6 GFLOPS (1:4),IGP,35 W,No outputs,12 Ultimate (12_2),4.6,3.0,1.3,6.6,,,,,,,,,,,,,,
Arc A380,https://www.techpowerup.com/gpu-specs/arc-a380.c3913,2022,DG2-128,1024,64,32,4 GB,GDDR6,64 bit,DG2-128,ACM-G11,Generation 12.7,TSMC,6 nm,"7,200 million",157 mm²,Unknown,"Alchemist
(Arc 3)",Active,PCIe 4.0 x8,,300 MHz,1550 MHz,"1500 MHz
12 Gbps effective",4 GB,GDDR6,64 bit,96.00 GB/s,1024,64,32,128,8,4 MB,49.60 GPixel/s,99.20 GTexel/s,6.349 TFLOPS (2:1),3.174 TFLOPS,793.6 GFLOPS (1:4),IGP,35 W,No outputs,12 Ultimate (12_2),4.6,3.0,1.3,6.6,200 W,,,,,,,,,,,,,
Arc A550M,https://www.techpowerup.com/gpu-specs/arc-a550m.c3907,2022,DG2-512,2048,128,64,8 GB,GDDR6,128 bit,DG2-512,ACM-G10,Generation 12.7,TSMC,6 nm,"21,700 million",406 mm²,2022,"Alchemist
(Arc 5)",Active,PCIe 4.0 x16,1 in our database,300 MHz,900 MHz,"1500 MHz
12 Gbps effective",8 GB,GDDR6,128 bit,192.0 GB/s,2048,128,64,256,16,8 MB,57.60 GPixel/s,115.2 GTexel/s,7.373 TFLOPS (2:1),3.686 TFLOPS,921.6 GFLOPS (1:4),IGP,60 W,No outputs,12 Ultimate (12_2),4.6,3.0,1.3,6.6,,,,,,,,,,,,,,
Arc A730M,https://www.techpowerup.com/gpu-specs/arc-a730m.c3908,2022,DG2-512,3072,192,96,12 GB,GDDR6,192 bit,DG2-512,ACM-G10,Generation 12.7,TSMC,6 nm,"21,700 million",406 mm²,2022,"Alchemist
(Arc 7)",Active,PCIe 4.0 x16,1 in our database,300 MHz,1100 MHz,"1500 MHz
12 Gbps effective",12 GB,GDDR6,192 bit,288.0 GB/s,3072,192,96,384,24,12 MB,105.6 GPixel/s,211.2 GTexel/s,13.52 TFLOPS (2:1),6.758 TFLOPS,1.690 TFLOPS (1:4),IGP,80 W,No outputs,12 Ultimate (12_2),4.6,3.0,1.3,6.6,,,,,,,,,,,,,,
Arc A770,https://www.techpowerup.com/gpu-specs/arc-a770.c3914,2022,DG2-512,4096,256,128,16 GB,GDDR6,256 bit,DG2-512,ACM-G10,Generation 12.7,TSMC,6 nm,"21,700 million",406 mm²,Unknown,"Alchemist
(Arc 7)",Active,PCIe 4.0 x16,,300 MHz,1650 MHz,"1500 MHz
12 Gbps effective",16 GB,GDDR6,256 bit,384.0 GB/s,4096,256,128,512,32,16 MB,211.2 GPixel/s,422.4 GTexel/s,27.03 TFLOPS (2:1),13.52 TFLOPS,3.379 TFLOPS (1:4),IGP,120 W,No outputs,12 Ultimate (12_2),4.6,3.0,1.3,6.6,300 W,,,,,,,,,,,,,
Arc A770M,https://www.techpowerup.com/gpu-specs/arc-a770m.c3909,2022,DG2-512,4096,256,128,16 GB,GDDR6,256 bit,DG2-512,ACM-G10,Generation 12.7,TSMC,6 nm,"21,700 million",406 mm²,2022,"Alchemist
(Arc 7)",Active,PCIe 4.0 x16,1 in our database,300 MHz,1650 MHz,"1500 MHz
12 Gbps effective",16 GB,GDDR6,256 bit,384.0 GB/s,4096,256,128,512,32,16 MB,211.2 GPixel/s,422.4 GTexel/s,27.03 TFLOPS (2:1),13.52 TFLOPS,3.379 TFLOPS (1:4),IGP,120 W,No outputs,12 Ultimate (12_2),4.6,3.0,1.3,6.6,,,,,,,,,,,,,,
Arc A780,https://www.techpowerup.com/gpu-specs/arc-a780.c3910,2022,DG2-512,4096,256,128,16 GB,GDDR6X,256 bit,DG2-512,ACM-G10,Generation 12.7,TSMC,6 nm,"21,700 million",406 mm²,2022,"Alchemist
(Arc 7)",Unreleased,PCIe 4.0 x16,1 in our database,300 MHz,2200 MHz,"1093 MHz
17.5 Gbps effective",16 GB,GDDR6X,256 bit,559.6 GB/s,4096,256,128,512,32,16 MB,281.6 GPixel/s,563.2 GTexel/s,36.04 TFLOPS (2:1),18.02 TFLOPS,4.506 TFLOPS (1:4),Dual-slot,200 W,"1x HDMI 2.1
3x DisplayPort 1.4a",12 Ultimate (12_2),4.6,3.0,1.3,6.6,550 W,2x 8-pin,,,,,,,,,,,,
Arctic Sound-M,https://www.techpowerup.com/gpu-specs/arctic-sound-m.c3885,2022,Arctic Sound,8192,256,128,16 GB,HBM2e,4096 bit,Arctic Sound,,Generation 12.5,Intel,10 nm,"8,000 million",190 mm²,2022,Xe Graphics,Active,PCIe 4.0 x16,,,,"1200 MHz
2.4 Gbps effective",16 GB,HBM2e,4096 bit,"1,229 GB/s",8192,256,128,512,,8 MB,115.2 GPixel/s,230.4 GTexel/s,29.49 TFLOPS (2:1),14.75 TFLOPS,3.686 TFLOPS (1:4),Single-slot,500 W,No outputs,12 (12_1),4.6,3.0,N/A,6.5,900 W,8-pin EPS,900 MHz,"267 mm
10.5 inches",,,,,,,,,,
Iris Xe Graphics 80EU,https://www.techpowerup.com/gpu-specs/iris-xe-graphics-80eu.c3882,2022,Alder Lake GT1,640,40,20,System Shared,System Shared,System Shared,Alder Lake GT1,,Generation 12.2,Intel,10 nm,unknown,unknown,"Jan 4th, 2022","HD Graphics-M
(Alder Lake)",Active,Ring Bus,1 in our database,300 MHz,1300 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,640,40,20,80,,1024 KB,26.00 GPixel/s,52.00 GTexel/s,3.328 TFLOPS (2:1),1.664 TFLOPS,416.0 GFLOPS (1:4),IGP,45 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,12 MB,,,,,,,,,
