Name,Link,Year,GRAPHICS PROCESSOR,PIXEL SHADERS,VERTEX SHADERS,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Production,Bus Interface,Reviews,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Pixel Shaders,Vertex Shaders,TMUs,ROPs,Pixel Rate,Vertex Rate,Texture Rate,Slot Width,Length,Width,Height,TDP,Suggested PSU,Outputs,Power Connectors,Board Number,DirectX,OpenGL,OpenCL,Vulkan,Pixel Shader,Vertex Shader,GPU Variant,Launch Price
Parhelia APVe,https://www.techpowerup.com/gpu-specs/parhelia-apve.c1298,2006,Parhelia-512,2,2,8,2,128 MB,DDR,128 bit,Parhelia-512,Parhelia,UMC,150 nm,80 million,174 mm²,"Jun 14th, 2006",Parhelia,End-of-life,PCIe 1.0 x16,5 in our database,250 MHz,"250 MHz
500 Mbps effective",128 MB,DDR,128 bit,8.000 GB/s,2,2,8,2,500.0 MPixel/s,125.0 MVertices/s,2.000 GTexel/s,Single-slot,"168 mm
6.6 inches","97 mm
3.8 inches","36 mm
1.4 inches",unknown,200 W,2x DVI,None,PH-E128APVF,8.1,1.3,N/A,N/A,1.3,2.0,,
M9125 PCIe x16,https://www.techpowerup.com/gpu-specs/m9125-pcie-x16.c3530,2004,PX-A1,2,2,8,2,512 MB,DDR2,64 bit,PX-A1,PX,UMC,90 nm,unknown,unknown,Unknown,"M
(Mxxx)",End-of-life,PCIe 1.0 x16,5 in our database,250 MHz,"300 MHz
600 Mbps effective",512 MB,DDR2,64 bit,4.800 GB/s,2,2,8,2,500.0 MPixel/s,125.0 MVertices/s,2.000 GTexel/s,Single-slot,"168 mm
6.6 inches",,,unknown,200 W,"2x DVI
2x LFH60",None,M9125-E512F,8.1,1.5,N/A,N/A,1.3,2.0,,
Parhelia 128 MB,https://www.techpowerup.com/gpu-specs/parhelia-128-mb.c3518,2004,Parhelia-512,4,4,16,4,128 MB,DDR,256 bit,Parhelia-512,Parhelia,UMC,150 nm,80 million,174 mm²,"Mar 30th, 2004",Parhelia,End-of-life,AGP 8x,5 in our database,250 MHz,"300 MHz
600 Mbps effective",128 MB,DDR,256 bit,19.20 GB/s,4,4,16,4,1.000 GPixel/s,250.0 MVertices/s,4.000 GTexel/s,Single-slot,"175 mm
6.9 inches",,,unknown,200 W,2x DVI,None,PH-A8X128,8.1,1.3,N/A,N/A,1.3,2.0,PHF-D2,
Parhelia 256 MB,https://www.techpowerup.com/gpu-specs/parhelia-256-mb.c3519,2004,Parhelia-512,4,4,16,4,256 MB,DDR,256 bit,Parhelia-512,Parhelia,UMC,150 nm,80 million,174 mm²,"Mar 30th, 2004",Parhelia,End-of-life,AGP 8x,5 in our database,250 MHz,"325 MHz
650 Mbps effective",256 MB,DDR,256 bit,20.80 GB/s,4,4,16,4,1.000 GPixel/s,250.0 MVertices/s,4.000 GTexel/s,Single-slot,"175 mm
6.9 inches",,,unknown,200 W,2x DVI,None,PH-A8X256,8.1,1.3,N/A,N/A,1.3,2.0,PHF-D2,
QID,https://www.techpowerup.com/gpu-specs/qid.c3527,2004,MP-A4,2,2,8,2,256 MB,DDR,128 bit,MP-A4,MP,UMC,0 nm,unknown,unknown,"Dec 17th, 2004",QID,End-of-life,AGP 8x,5 in our database,250 MHz,"300 MHz
600 Mbps effective",256 MB,DDR,128 bit,9.600 GB/s,2,2,8,2,500.0 MPixel/s,125.0 MVertices/s,2.000 GTexel/s,Single-slot,"165 mm
6.5 inches",,,unknown,200 W,1x DVI,None,QID-QDA8X128F,8.1,1.5,N/A,N/A,1.3,2.0,,
QID LP PCI,https://www.techpowerup.com/gpu-specs/qid-lp-pci.c3526,2004,MP-A4,2,2,8,2,128 MB,DDR,64 bit,MP-A4,MP,UMC,0 nm,unknown,unknown,"Dec 17th, 2004",QID,End-of-life,PCI-X,5 in our database,250 MHz,"300 MHz
600 Mbps effective",128 MB,DDR,64 bit,4.800 GB/s,2,2,8,2,500.0 MPixel/s,125.0 MVertices/s,2.000 GTexel/s,Single-slot,"168 mm
6.6 inches",,,unknown,200 W,2x LFH60,None,QID-P128LPAF,8.1,1.5,N/A,N/A,1.3,2.0,,
QID LP PCIe,https://www.techpowerup.com/gpu-specs/qid-lp-pcie.c3524,2004,MP-A4,2,2,8,2,128 MB,DDR,128 bit,MP-A4,MP,UMC,0 nm,unknown,unknown,"Dec 17th, 2004",QID,End-of-life,PCIe 1.0 x16,5 in our database,250 MHz,"300 MHz
600 Mbps effective",128 MB,DDR,128 bit,9.600 GB/s,2,2,8,2,500.0 MPixel/s,125.0 MVertices/s,2.000 GTexel/s,Single-slot,"168 mm
6.6 inches",,,unknown,200 W,1x DVI,None,QID-E128LPAF,8.1,1.5,N/A,N/A,1.3,2.0,MP-A4L,799 USD
QID PRO,https://www.techpowerup.com/gpu-specs/qid-pro.c3525,2004,MP-A4,2,2,8,2,256 MB,DDR,64 bit,MP-A4,MP,UMC,0 nm,unknown,unknown,"Dec 17th, 2004",QID,End-of-life,PCI-X,5 in our database,250 MHz,"300 MHz
600 Mbps effective",256 MB,DDR,64 bit,4.800 GB/s,2,2,8,2,500.0 MPixel/s,125.0 MVertices/s,2.000 GTexel/s,Single-slot,"190 mm
7.5 inches",,,unknown,200 W,2x LFH60,None,QID-P256PROF,8.1,1.5,N/A,N/A,1.3,2.0,,
Parhelia DL256,https://www.techpowerup.com/gpu-specs/parhelia-dl256.c3523,2003,Parhelia-512,4,4,16,4,256 MB,DDR,64 bit,Parhelia-512,Parhelia,UMC,150 nm,80 million,174 mm²,2003,Parhelia,End-of-life,PCI-X,5 in our database,200 MHz,"250 MHz
500 Mbps effective",256 MB,DDR,64 bit,4.000 GB/s,4,4,16,4,800.0 MPixel/s,200.0 MVertices/s,3.200 GTexel/s,Single-slot,"190 mm
7.5 inches",,,unknown,200 W,2x LFH60,None,PH-P256DLF,8.1,1.3,N/A,N/A,1.3,2.0,,
Parhelia HR256,https://www.techpowerup.com/gpu-specs/parhelia-hr256.c3522,2003,Parhelia-512,4,4,16,4,256 MB,DDR,64 bit,Parhelia-512,Parhelia,UMC,150 nm,80 million,174 mm²,Sep 2003,Parhelia,End-of-life,PCI-X,5 in our database,200 MHz,"250 MHz
500 Mbps effective",256 MB,DDR,64 bit,4.000 GB/s,4,4,16,4,800.0 MPixel/s,200.0 MVertices/s,3.200 GTexel/s,Single-slot,"190 mm
7.5 inches",,,unknown,200 W,2x LFH60,None,PH-P256HR3DF,8.1,1.3,N/A,N/A,1.3,2.0,,
Parhelia PCI,https://www.techpowerup.com/gpu-specs/parhelia-pci.c95,2003,Parhelia-512,4,4,16,4,256 MB,DDR,64 bit,Parhelia-512,Parhelia,UMC,150 nm,80 million,174 mm²,2003,Parhelia,End-of-life,PCI-X,5 in our database,200 MHz,"250 MHz
500 Mbps effective",256 MB,DDR,64 bit,4.000 GB/s,4,4,16,4,800.0 MPixel/s,200.0 MVertices/s,3.200 GTexel/s,Single-slot,"190 mm
7.5 inches",,,unknown,200 W,2x DVI,None,,8.1,1.3,N/A,N/A,1.3,2.0,,
Parhelia Precision SDT,https://www.techpowerup.com/gpu-specs/parhelia-precision-sdt.c3521,2003,Parhelia-512,4,4,16,4,256 MB,DDR,64 bit,Parhelia-512,Parhelia,UMC,150 nm,80 million,174 mm²,2003,Parhelia,End-of-life,PCI-X,5 in our database,200 MHz,"250 MHz
500 Mbps effective",256 MB,DDR,64 bit,4.000 GB/s,4,4,16,4,800.0 MPixel/s,200.0 MVertices/s,3.200 GTexel/s,Single-slot,"190 mm
7.5 inches",,,unknown,200 W,1x DVI,None,PH-P256SDTF,8.1,1.3,N/A,N/A,1.3,2.0,,
