Year,Foundry,Process Size,Transistors,Die Size,Production,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,TMUs,ROPs,Pixel Rate,Texture Rate,Slot Width,TDP,Outputs,Power Connectors,DirectX,OpenGL,Manufacturer,CORES,Shading Units,FP32 (float) performance,Shader Model
2001,TSMC,180 nm,30 million,131 mm²,End-of-life,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4.0,4.0,800.0 MPixel/s,800.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,8.0,1.1,3dfx,,,,
2001,TSMC,180 nm,25 million,unknown,End-of-life,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4.0,4.0,800.0 MPixel/s,800.0 MTexel/s,Single-slot,30 W,"1x DVI
1x VGA
1x S-Video",None,8.0,1.1,3dfx,,,,
2001,TSMC,180 nm,25 million,unknown,End-of-life,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4.0,4.0,800.0 MPixel/s,800.0 MTexel/s,Single-slot,60 W,"1x DVI
1x VGA
1x S-Video",None,8.0,1.1,3dfx,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,64 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,143 MHz,"143 MHz
286 Mbps effective",16 MB,DDR,128 bit,4.576 GB/s,2.0,2.0,286.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,"1x DVI
1x VGA",None,6.0,1.1,3dfx,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,"166 MHz
332 Mbps effective",16 MB,DDR,128 bit,5.312 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,"1x DVI
1x VGA",None,6.0,1.1,3dfx,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,"166 MHz
332 Mbps effective",32 MB,DDR,128 bit,5.312 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,"1x DVI
1x VGA",None,6.0,1.1,3dfx,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,6.0,1.1,3dfx,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,6.0,1.1,3dfx,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,6.0,1.1,3dfx,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,6.0,1.1,3dfx,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,60 W,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,8 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,12 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,16 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,16 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,143 MHz,143 MHz,16 MB,SDR,128 bit,2.288 GB/s,2.0,1.0,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,1.0,166.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,1.0,166.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250 nm,8.2 million,74 mm²,End-of-life,183 MHz,183 MHz,16 MB,SDR,128 bit,2.928 GB/s,2.0,1.0,183.0 MPixel/s,366.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1998,TSMC,350 nm,4 million,137 mm²,End-of-life,100 MHz,100 MHz,16 MB,SDR,128 bit,1.600 GB/s,1.0,1.0,100.0 MPixel/s,100.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1998,TSMC,350 nm,4 million,137 mm²,End-of-life,100 MHz,100 MHz,16 MB,SDR,128 bit,1.600 GB/s,1.0,1.0,100.0 MPixel/s,100.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,3dfx,,,,
1998,TSMC,350 nm,4 million,119 mm²,End-of-life,90 MHz,90 MHz,12 MB,EDO,192 bit,2.160 GB/s,2.0,1.0,90.00 MPixel/s,180.0 MTexel/s,Single-slot,15 W,2x VGA,None,6.0,1.1,3dfx,,,,
1998,TSMC,350 nm,4 million,119 mm²,End-of-life,90 MHz,90 MHz,8 MB,EDO,192 bit,2.160 GB/s,2.0,1.0,90.00 MPixel/s,180.0 MTexel/s,Single-slot,15 W,2x VGA,None,6.0,1.1,3dfx,,,,
1996,TSMC,500 nm,1 million,135 mm²,End-of-life,50 MHz,50 MHz,4 MB,EDO,128 bit,800.0 MB/s,1.0,1.0,50.00 MPixel/s,50.00 MTexel/s,Single-slot,15 W,2x VGA,None,5.0,1.1,3dfx,,,,
2001,TSMC,180 nm,30 million,131 mm²,End-of-life,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4.0,4.0,800.0 MPixel/s,800.0 MTexel/s,Single-slot,30 W,1x VGA,1x Molex,8.0,1.1,AMD,,,,
2001,TSMC,180 nm,25 million,unknown,End-of-life,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4.0,4.0,800.0 MPixel/s,800.0 MTexel/s,Single-slot,30 W,"1x DVI
1x VGA
1x S-Video",None,8.0,1.1,AMD,,,,
2001,TSMC,180 nm,25 million,unknown,End-of-life,200 MHz,"200 MHz
400 Mbps effective",64 MB,DDR,128 bit,6.400 GB/s,4.0,4.0,800.0 MPixel/s,800.0 MTexel/s,Single-slot,60 W,"1x DVI
1x VGA
1x S-Video",None,8.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,250 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,64 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,143 MHz,"143 MHz
286 Mbps effective",16 MB,DDR,128 bit,4.576 GB/s,2.0,2.0,286.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,"1x DVI
1x VGA",None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,"166 MHz
332 Mbps effective",16 MB,DDR,128 bit,5.312 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,"1x DVI
1x VGA",None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,"166 MHz
332 Mbps effective",32 MB,DDR,128 bit,5.312 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,"1x DVI
1x VGA",None,6.0,1.1,AMD,,,,
2000,TSMC,180 nm,14 million,112 mm²,End-of-life,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2.0,2.0,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,1x VGA,None,6.0,1.1,AMD,,,,
