Year,Foundry,Process Size [nm],Transistors [million],Die Size [mm²],Production,GPU Clock [MHz],Memory Clock [MHz],Memory Size [GB],Memory Type,Memory Bus [bit],Bandwidth [GB/s],TMUs,ROPs,Pixel Rate [GPixel/s],Texture Rate [GTexel/s],Slot Width,TDP [W],Outputs,Power Connectors,DirectX,OpenGL,Manufacturer,CORES,Shading Units,FP32 (float) performance [TFLOPS],Shader Model
2001,TSMC,180.0,30.0,131.0,End-of-life,200.0,200.0,0.064,DDR,128.0,6.400000095367432,4.0,4.0,0.8,0.8,Single-slot,30.0,1x VGA,1x Molex,8.0,1.1,3dfx,,,,
2001,TSMC,180.0,25.0,,End-of-life,200.0,200.0,0.064,DDR,128.0,6.400000095367432,4.0,4.0,0.8,0.8,Single-slot,30.0,"1x DVI
1x VGA
1x S-Video",None,8.0,1.1,3dfx,,,,
2001,TSMC,180.0,25.0,,End-of-life,200.0,200.0,0.064,DDR,128.0,6.400000095367432,4.0,4.0,0.8,0.8,Single-slot,60.0,"1x DVI
1x VGA
1x S-Video",None,8.0,1.1,3dfx,,,,
2000,TSMC,250.0,14.0,112.0,End-of-life,166.0,166.0,0.016,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,250.0,14.0,112.0,End-of-life,166.0,166.0,0.032,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,250.0,14.0,112.0,End-of-life,166.0,166.0,0.032,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,250.0,14.0,112.0,End-of-life,166.0,166.0,0.064,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,180.0,14.0,112.0,End-of-life,166.0,166.0,0.016,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,180.0,14.0,112.0,End-of-life,143.0,143.0,0.016,DDR,128.0,4.576000213623047,2.0,2.0,0.28600000000000003,0.28600000000000003,Single-slot,15.0,"1x DVI
1x VGA",None,6.0,1.1,3dfx,,,,
2000,TSMC,180.0,14.0,112.0,End-of-life,166.0,166.0,0.016,DDR,128.0,5.311999797821045,2.0,2.0,0.332,0.332,Single-slot,15.0,"1x DVI
1x VGA",None,6.0,1.1,3dfx,,,,
2000,TSMC,180.0,14.0,112.0,End-of-life,166.0,166.0,0.032,DDR,128.0,5.311999797821045,2.0,2.0,0.332,0.332,Single-slot,15.0,"1x DVI
1x VGA",None,6.0,1.1,3dfx,,,,
2000,TSMC,180.0,14.0,112.0,End-of-life,166.0,166.0,0.032,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
2000,TSMC,250.0,14.0,112.0,End-of-life,166.0,166.0,0.016,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,30.0,1x VGA,1x Molex,6.0,1.1,3dfx,,,,
2000,TSMC,250.0,14.0,112.0,End-of-life,166.0,166.0,0.016,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,30.0,1x VGA,1x Molex,6.0,1.1,3dfx,,,,
2000,TSMC,250.0,14.0,112.0,End-of-life,166.0,166.0,0.032,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,30.0,1x VGA,1x Molex,6.0,1.1,3dfx,,,,
2000,TSMC,250.0,14.0,112.0,End-of-life,166.0,166.0,0.032,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,30.0,1x VGA,1x Molex,6.0,1.1,3dfx,,,,
2000,TSMC,250.0,14.0,112.0,End-of-life,166.0,166.0,0.032,SDR,128.0,2.6559998989105225,2.0,2.0,0.332,0.332,Single-slot,60.0,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250.0,8.199999809265137,74.0,End-of-life,143.0,143.0,0.008,SDR,128.0,2.2880001068115234,2.0,1.0,0.14300000000000002,0.28600000000000003,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250.0,8.199999809265137,74.0,End-of-life,143.0,143.0,0.012,SDR,128.0,2.2880001068115234,2.0,1.0,0.14300000000000002,0.28600000000000003,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250.0,8.199999809265137,74.0,End-of-life,143.0,143.0,0.016,SDR,128.0,2.2880001068115234,2.0,1.0,0.14300000000000002,0.28600000000000003,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250.0,8.199999809265137,74.0,End-of-life,143.0,143.0,0.016,SDR,128.0,2.2880001068115234,2.0,1.0,0.14300000000000002,0.28600000000000003,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250.0,8.199999809265137,74.0,End-of-life,143.0,143.0,0.016,SDR,128.0,2.2880001068115234,2.0,1.0,0.14300000000000002,0.28600000000000003,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250.0,8.199999809265137,74.0,End-of-life,166.0,166.0,0.016,SDR,128.0,2.6559998989105225,2.0,1.0,0.166,0.332,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250.0,8.199999809265137,74.0,End-of-life,166.0,166.0,0.016,SDR,128.0,2.6559998989105225,2.0,1.0,0.166,0.332,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1999,TSMC,250.0,8.199999809265137,74.0,End-of-life,183.0,183.0,0.016,SDR,128.0,2.927999973297119,2.0,1.0,0.183,0.366,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1998,TSMC,350.0,4.0,137.0,End-of-life,100.0,100.0,0.016,SDR,128.0,1.600000023841858,1.0,1.0,0.1,0.1,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1998,TSMC,350.0,4.0,137.0,End-of-life,100.0,100.0,0.016,SDR,128.0,1.600000023841858,1.0,1.0,0.1,0.1,Single-slot,15.0,1x VGA,None,6.0,1.1,3dfx,,,,
1998,TSMC,350.0,4.0,119.0,End-of-life,90.0,90.0,0.012,EDO,192.0,2.1600000858306885,2.0,1.0,0.09,0.18,Single-slot,15.0,2x VGA,None,6.0,1.1,3dfx,,,,
1998,TSMC,350.0,4.0,119.0,End-of-life,90.0,90.0,0.008,EDO,192.0,2.1600000858306885,2.0,1.0,0.09,0.18,Single-slot,15.0,2x VGA,None,6.0,1.1,3dfx,,,,
1996,TSMC,500.0,1.0,135.0,End-of-life,50.0,50.0,0.004,EDO,128.0,0.8,1.0,1.0,0.05,0.05,Single-slot,15.0,2x VGA,None,5.0,1.1,3dfx,,,,
2001,TSMC,180.0,30.0,131.0,End-of-life,200.0,200.0,0.064,DDR,128.0,6.400000095367432,4.0,4.0,0.8,0.8,Single-slot,30.0,1x VGA,1x Molex,8.0,1.1,AMD,,,,
